,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,Karlskoga,59.3267,14.5239,268.52,96.0,100.0,4.58,SE
1,Bosaso,11.2842,49.1816,295.08,74.0,15.0,2.69,SO
2,Aksu,41.1231,80.2644,276.33,67.0,0.0,0.73,CN
3,Izhma,65.0083,53.9113,237.25,83.0,99.0,1.52,RU
5,Banjar,-8.19,114.9675,303.15,74.0,20.0,5.66,ID
6,Naze,28.3667,129.4833,286.15,58.0,75.0,7.72,JP
7,Port Elizabeth,-33.918,25.5701,292.15,68.0,0.0,6.17,ZA
8,Kapaa,22.0752,-159.319,297.23,79.0,44.0,2.07,US
9,Chimoio,-19.1164,33.4833,290.69,98.0,100.0,3.33,MZ
10,Muisne,0.6,-80.0333,298.1,86.0,100.0,2.62,EC
11,Mattru,7.6244,-11.8332,297.43,92.0,86.0,0.98,SL
12,Albany,42.6001,-73.9662,270.15,74.0,90.0,7.72,US
13,Tautira,-17.7333,-149.15,303.15,66.0,75.0,5.14,PF
14,Kaeo,-35.1,173.7833,296.48,69.0,11.0,3.13,NZ
15,Jagdalpur,19.0667,82.0333,295.37,49.0,0.0,1.42,IN
16,Sarangani,5.4033,125.4636,301.28,72.0,100.0,2.98,PH
18,Sangar,63.9242,127.4739,244.49,86.0,43.0,1.78,RU
19,Atuona,-9.8,-139.0333,299.41,79.0,3.0,7.0,PF
20,Iqaluit,63.7506,-68.5145,244.63,82.0,0.0,3.13,CA
21,Punta Arenas,-53.15,-70.9167,284.15,76.0,75.0,4.12,CL
22,Rikitea,-23.1203,-134.9692,299.26,74.0,68.0,6.02,PF
23,Tezu,27.9167,96.1667,295.99,28.0,80.0,1.38,IN
24,Goderich,43.7501,-81.7165,266.15,63.0,100.0,6.17,CA
25,Maun,-19.9833,23.4167,292.72,93.0,100.0,3.59,BW
26,Saint George,37.1041,-113.5841,282.15,40.0,90.0,5.66,US
27,Spasskoye,44.6108,132.7969,261.26,94.0,100.0,8.4,RU
28,Pevek,69.7008,170.3133,242.78,87.0,4.0,1.4,RU
29,Busselton,-33.65,115.3333,297.59,63.0,0.0,1.79,AU
30,Sur,22.5667,59.5289,294.44,50.0,0.0,2.49,OM
31,Dikson,73.5069,80.5464,243.7,87.0,89.0,5.48,RU
32,Atar,20.5169,-13.0499,291.62,27.0,80.0,4.42,MR
33,Paamiut,61.994,-49.6678,259.88,85.0,2.0,6.63,GL
34,Shimoda,34.6667,138.95,282.15,53.0,75.0,7.2,JP
35,Mataura,-46.1927,168.8643,290.93,55.0,0.0,1.79,NZ
36,Ushuaia,-54.8,-68.3,283.15,93.0,75.0,2.06,AR
37,Hilo,19.7297,-155.09,299.15,61.0,90.0,5.14,US
38,Hermanus,-34.4187,19.2345,290.01,84.0,0.0,4.48,ZA
39,Avarua,-21.2078,-159.775,302.28,62.0,99.0,1.82,CK
41,Saint Paul Harbor,57.79,-152.4072,277.15,87.0,90.0,8.75,US
42,Bredasdorp,-34.5322,20.0403,289.15,88.0,14.0,2.06,ZA
44,Severo-Kuril'sk,50.6789,156.125,272.96,93.0,70.0,7.51,RU
45,Saskylakh,71.9167,114.0833,244.18,84.0,99.0,6.92,RU
46,Sitka,57.0531,-135.33,275.15,93.0,90.0,2.06,US
47,Krasnosel'kup,65.7,82.4667,243.77,87.0,100.0,5.4,RU
48,Marquette,46.5333,-87.6335,256.33,92.0,40.0,3.37,US
49,Torbay,47.6666,-52.7314,269.82,93.0,90.0,7.72,CA
50,Saldanha,-33.0117,17.9442,288.15,77.0,0.0,1.03,ZA
51,Khatanga,71.9667,102.5,244.49,83.0,100.0,4.14,RU
52,Nome,64.5011,-165.4064,259.15,56.0,1.0,8.75,US
53,Maniitsoq,65.4167,-52.9,256.29,81.0,3.0,2.77,GL
54,Den Helder,52.9599,4.7593,279.15,93.0,90.0,8.23,NL
55,Bengkulu,-3.8004,102.2655,301.78,65.0,99.0,0.29,ID
56,Mercedes,-34.6515,-59.4307,290.93,64.0,0.0,1.79,AR
57,Barrow,71.2906,-156.7887,246.15,76.0,1.0,4.63,US
58,Vaini,-21.2,-175.2,303.15,70.0,20.0,2.57,TO
59,Jacareacanga,-6.2222,-57.7528,296.03,97.0,45.0,0.67,BR
60,Upernavik,72.7868,-56.1549,250.45,87.0,62.0,1.46,GL
61,Mogadishu,2.0371,45.3438,297.86,82.0,100.0,6.0,SO
62,Black River,18.0264,-77.8487,299.26,78.0,20.0,1.54,JM
63,Bluff,-46.6,168.3333,290.93,55.0,0.0,1.79,NZ
64,Hobart,-42.8794,147.3294,300.93,38.0,0.0,5.66,AU
66,Oranjemund,-28.55,16.4333,289.95,77.0,0.0,1.97,NA
67,Tuktoyaktuk,69.4541,-133.0374,243.15,76.0,40.0,4.12,CA
68,Coquimbo,-29.9533,-71.3436,288.79,84.0,3.0,1.3,CL
70,Derzhavīnsk,51.1,66.3167,256.27,92.0,100.0,2.84,KZ
71,Chui,-33.6971,-53.4616,291.63,94.0,1.0,3.36,UY
72,Terenos,-20.4422,-54.8603,294.07,94.0,94.0,1.21,BR
73,Gaoual,11.75,-13.2,292.9,68.0,20.0,1.23,GN
74,Faya,18.3851,42.4509,290.15,25.0,0.0,2.07,SA
75,Cape Town,-33.9258,18.4232,289.82,77.0,0.0,0.51,ZA
76,Muş Province,39.0,41.75,274.91,95.0,98.0,2.23,TR
77,Isangel,-19.55,169.2667,304.62,62.0,83.0,1.34,VU
78,Klaksvík,62.2266,-6.589,279.15,100.0,75.0,7.2,FO
79,Woodward,36.4337,-99.3904,259.84,94.0,100.0,4.41,US
80,Del Rio,29.3627,-100.8968,270.72,95.0,100.0,3.97,US
83,Richards Bay,-28.783,32.0377,291.48,83.0,5.0,4.91,ZA
84,Norman Wells,65.282,-126.8329,250.15,77.0,75.0,1.3,CA
85,Birjand,32.8663,59.2211,281.43,39.0,0.0,1.98,IR
86,Murray Bridge,-35.1167,139.2667,309.82,21.0,0.0,2.24,AU
87,Le Port,-20.9373,55.2919,297.15,83.0,90.0,3.09,RE
88,Pisco,-13.7,-76.2167,295.15,78.0,0.0,2.57,PE
90,Jamestown,42.097,-79.2353,259.92,93.0,97.0,3.87,US
91,Souillac,-20.5167,57.5167,297.15,100.0,75.0,2.06,MU
92,Lerwick,60.1545,-1.1494,280.15,81.0,7.0,8.23,GB
94,Changping,40.2186,116.2197,271.48,20.0,0.0,4.0,CN
95,Kaitangata,-46.2817,169.8464,288.15,62.0,5.0,4.92,NZ
97,Turan,16.0678,108.2208,298.15,69.0,40.0,1.54,VN
98,Mazyr,52.0495,29.2456,259.72,94.0,100.0,2.36,BY
99,Chauny,49.6151,3.2186,279.42,94.0,41.0,6.13,FR
100,Saint-Philippe,-21.3585,55.7679,298.15,78.0,90.0,2.57,RE
101,Juegang,32.3174,121.1855,277.59,46.0,0.0,0.45,CN
102,Sirte,31.2089,16.5887,285.26,61.0,99.0,5.92,LY
103,Smolenka,52.1352,113.4974,247.15,64.0,100.0,1.34,RU
104,Cayenne,4.9333,-52.3333,298.15,83.0,75.0,1.03,GF
105,Hong Kong,22.2855,114.1577,294.82,62.0,0.0,0.89,HK
106,Yellowknife,62.456,-114.3525,246.96,88.0,100.0,2.26,CA
107,Smithers,54.7804,-127.1743,266.42,92.0,94.0,1.86,CA
108,Athabasca,54.7169,-113.2854,253.15,84.0,68.0,2.33,CA
109,Castro,-24.7911,-50.0119,289.62,93.0,84.0,2.03,BR
110,Los Alamos,35.8881,-106.307,270.15,93.0,1.0,2.77,US
111,Lata,40.1629,-8.3327,286.48,99.0,97.0,1.33,PT
112,Los Llanos de Aridane,28.6585,-17.9182,290.15,59.0,79.0,3.6,ES
113,La Rioja,42.25,-2.5,278.15,100.0,90.0,2.46,ES
114,Lavrentiya,65.5833,-171.0,245.78,83.0,0.0,3.36,RU
115,Port Victoria,0.0939,33.9756,294.75,81.0,100.0,3.36,KE
116,Shangrao,28.4532,117.9686,287.95,69.0,35.0,0.25,CN
117,Houston,29.7633,-95.3633,271.86,95.0,96.0,2.19,US
118,Matara,5.9485,80.5353,298.89,81.0,4.0,2.06,LK
119,Tsimmerbude,54.675,20.1347,265.93,93.0,0.0,2.0,RU
120,Puerto Ayora,-0.7393,-90.3518,299.26,87.0,61.0,2.13,EC
121,Wanning,18.8003,110.3967,295.89,71.0,3.0,4.93,CN
123,Labuhan,-6.8844,112.2051,301.99,75.0,93.0,3.17,ID
124,Bārmer,25.75,71.3833,291.79,26.0,0.0,2.84,IN
125,Molteno,-31.3968,26.3625,280.32,80.0,4.0,0.82,ZA
126,Zevio,45.3721,11.1293,277.59,70.0,75.0,0.51,IT
127,Erenhot,43.6475,111.9767,255.44,80.0,0.0,2.36,CN
128,Rawson,-43.3002,-65.1023,291.67,61.0,0.0,6.78,AR
129,Saint-Pierre,-21.3393,55.4781,300.14,64.0,100.0,0.31,RE
130,Departamento de Maldonado,-34.6667,-54.9167,292.59,94.0,75.0,5.14,UY
131,Ambovombe,-25.1667,46.0833,297.28,81.0,64.0,1.57,MG
132,Sobolevo,54.4299,31.8996,263.24,96.0,100.0,4.0,RU
133,Palu,-0.8917,119.8707,303.81,59.0,100.0,1.73,ID
134,Hornepayne,49.2138,-84.7705,253.54,92.0,100.0,2.21,CA
135,Lebu,-37.6167,-73.65,285.01,84.0,0.0,3.93,CL
136,Meulaboh,4.1363,96.1285,302.08,67.0,46.0,2.05,ID
137,Ponta do Sol,32.6667,-17.1,290.93,35.0,100.0,3.58,PT
139,Hasaki,35.7333,140.8333,286.15,33.0,20.0,12.86,JP
140,Gigmoto,13.7796,124.39,300.32,69.0,92.0,6.72,PH
141,Vzmorye,54.6961,20.2361,265.93,93.0,0.0,2.0,RU
142,Itarema,-2.9248,-39.9167,296.62,93.0,100.0,2.67,BR
143,New Norfolk,-42.7826,147.0587,301.41,25.0,0.0,2.03,AU
144,Esperance,-33.8667,121.9,310.15,32.0,2.0,7.72,AU
145,Mar del Plata,-38.0023,-57.5575,292.59,94.0,90.0,2.57,AR
146,Hvide Sande,56.0045,8.1294,275.93,75.0,100.0,5.97,DK
147,Montego Bay,18.4712,-77.9188,299.15,78.0,20.0,1.54,JM
148,Ancud,-41.8697,-73.8203,284.43,86.0,1.0,2.33,CL
149,Al Bardīyah,31.7561,25.0865,282.14,61.0,74.0,11.84,LY
150,Jinchang,38.4953,102.1739,277.69,53.0,88.0,1.46,CN
151,Chippewa Falls,44.9369,-91.3929,255.37,71.0,1.0,0.78,US
152,Kisangani,0.5167,25.2,296.07,94.0,100.0,1.1,CD
153,Quatre Cocos,-20.2078,57.7625,299.39,85.0,61.0,2.23,MU
154,Gamba,-2.65,10.0,298.89,86.0,79.0,2.34,GA
156,Sistranda,63.7256,8.834,274.15,60.0,0.0,12.86,NO
157,Thompson,55.7435,-97.8558,252.15,84.0,1.0,1.99,CA
158,Brønderslev,57.2702,9.941,274.15,93.0,90.0,5.66,DK
159,Kiryat Gat,31.61,34.7642,283.71,100.0,74.0,4.02,IL
160,Chiang Klang,19.2938,100.8617,294.15,83.0,10.0,1.0,TH
161,Port Alfred,-33.5906,26.891,290.37,79.0,20.0,6.2,ZA
162,Kavieng,-2.5744,150.7967,301.96,72.0,71.0,5.22,PG
163,Grindavik,63.8424,-22.4338,276.15,87.0,90.0,7.2,IS
164,Cidreira,-30.1811,-50.2056,295.17,82.0,0.0,4.05,BR
166,Clyde River,70.4692,-68.5914,242.0,76.0,0.0,0.79,CA
167,Llandrindod Wells,52.2416,-3.3787,280.17,92.0,100.0,4.83,GB
168,Athani,16.7333,75.0667,294.67,70.0,0.0,1.84,IN
169,Lagoa,39.05,-27.9833,287.7,77.0,72.0,10.98,PT
170,Provideniya,64.3833,-173.3,252.55,81.0,0.0,4.75,RU
172,Cherskiy,68.75,161.3,243.8,86.0,0.0,0.43,RU
173,Faanui,-16.4833,-151.75,301.22,65.0,0.0,3.51,PF
174,Angra dos Reis,-23.0067,-44.3181,298.15,83.0,0.0,1.03,BR
175,Leningradskiy,69.3833,178.4167,244.76,87.0,52.0,1.62,RU
176,Bethel,41.3712,-73.414,277.15,64.0,90.0,3.09,US
177,Solnechnyy,50.7214,136.6319,258.68,89.0,100.0,9.14,RU
178,Vänersborg,58.3807,12.3234,271.48,93.0,100.0,5.14,SE
179,Karratha,-20.7377,116.8463,304.01,57.0,81.0,4.06,AU
180,Bambous Virieux,-20.3428,57.7575,299.6,84.0,63.0,2.05,MU
181,Chinhoyi,-17.3667,30.2,290.19,91.0,100.0,2.11,ZW
182,Arman',59.7,150.1667,257.57,85.0,8.0,4.64,RU
183,Mahébourg,-20.4081,57.7,299.75,82.0,58.0,1.66,MU
184,Guerrero Negro,27.9769,-114.0611,287.8,74.0,58.0,6.54,MX
185,Cloquet,46.7216,-92.4594,254.82,77.0,1.0,1.54,US
186,Qaanaaq,77.484,-69.3632,252.42,87.0,97.0,2.86,GL
187,Kindersley,51.4668,-109.1682,254.15,78.0,40.0,1.54,CA
188,Chabahar,25.2919,60.643,293.49,58.0,0.0,1.59,IR
189,Sarakhs,36.5449,61.1577,286.7,34.0,0.0,3.91,IR
190,Nikolskoye,59.7035,30.7861,261.15,79.0,75.0,4.0,RU
191,Spas-Demensk,54.4122,34.0226,261.43,96.0,100.0,3.63,RU
192,Bernardino de Campos,-23.0131,-49.4742,292.49,90.0,16.0,1.42,BR
193,Alofi,-19.0595,-169.9187,300.9,66.0,68.0,2.95,NU
196,Kristiansund,63.1115,7.732,278.15,48.0,90.0,2.57,NO
197,Ürümqi,43.801,87.6005,272.06,82.0,3.0,2.27,CN
198,Nardaran,40.5561,50.0056,276.66,78.0,99.0,12.44,AZ
199,Lucapa,-8.4192,20.7447,292.19,98.0,100.0,0.91,AO
200,Cockburn Town,21.4612,-71.1419,298.64,79.0,0.0,9.53,TC
201,Tarakan,3.3,117.6333,303.15,62.0,20.0,2.57,ID
202,Thinadhoo,0.5333,72.9333,300.65,69.0,77.0,2.29,MV
203,Olafsvik,64.8945,-23.7142,277.17,75.0,100.0,3.69,IS
204,Toora-Khem,52.4675,96.11,266.61,92.0,88.0,0.85,RU
205,Lüderitz,-26.6481,15.1594,290.63,71.0,0.0,2.16,NA
206,Tamala,52.541,43.2515,249.07,91.0,51.0,2.62,RU
207,Mbandaka,0.0487,18.2603,297.39,84.0,100.0,1.4,CD
208,Kahului,20.8947,-156.47,300.15,61.0,40.0,5.66,US
210,Mastic Beach,40.7668,-72.8521,274.27,86.0,3.0,9.18,US
211,Vestmannaeyjar,63.4427,-20.2734,277.84,77.0,100.0,8.47,IS
212,East London,-33.0153,27.9116,291.12,76.0,47.0,3.87,ZA
213,Brae,60.3964,-1.353,280.15,81.0,22.0,8.23,GB
214,Padang,-0.9492,100.3543,302.15,70.0,20.0,1.54,ID
215,Bathsheba,13.2167,-59.5167,299.15,61.0,75.0,9.26,BB
216,Vilyuysk,63.7553,121.6247,243.11,84.0,0.0,2.13,RU
217,Borba,-4.3878,-59.5939,297.13,94.0,54.0,0.97,BR
218,Gladstone,-23.85,151.25,302.15,48.0,75.0,7.72,AU
219,Eureka,40.8021,-124.1637,282.04,87.0,15.0,3.58,US
220,Strezhevoy,60.7333,77.5889,250.12,90.0,100.0,3.79,RU
221,Namatanai,-3.6667,152.4333,301.3,79.0,28.0,4.63,PG
222,Lompoc,34.6391,-120.4579,284.15,76.0,1.0,7.25,US
223,Baharly,38.4362,57.4316,289.48,29.0,0.0,3.35,TM
224,Avera,33.194,-82.5271,274.15,75.0,1.0,2.57,US
225,Makassar,-5.14,119.4221,302.15,79.0,40.0,2.06,ID
226,Kampene,-3.6,26.6667,293.57,93.0,100.0,0.32,CD
227,Finschhafen,-6.6024,147.8681,301.64,77.0,100.0,4.21,PG
228,Katsuura,35.1333,140.3,285.93,34.0,17.0,7.6,JP
229,Tazovsky,67.4667,78.7,245.14,88.0,99.0,5.11,RU
230,Talnakh,69.4865,88.3972,245.39,83.0,100.0,1.14,RU
232,Hithadhoo,-0.6,73.0833,300.68,71.0,100.0,1.03,MV
233,Seymchan,62.8833,152.4333,248.18,84.0,100.0,1.26,RU
234,Alhama de Murcia,37.851,-1.4251,282.59,78.0,97.0,0.74,ES
235,Butaritari,3.0707,172.7902,300.69,81.0,0.0,8.05,KI
236,Carnarvon,-24.8667,113.6333,300.15,94.0,40.0,7.72,AU
237,Sept-Îles,50.2001,-66.3821,263.15,73.0,100.0,3.6,CA
238,Pangnirtung,66.1451,-65.7125,243.53,79.0,39.0,1.2,CA
239,Arraial do Cabo,-22.9661,-42.0278,297.53,89.0,0.0,2.42,BR
240,Lorengau,-2.0226,147.2712,302.03,73.0,95.0,4.43,PG
241,The Valley,18.217,-63.0578,299.15,73.0,75.0,5.14,AI
242,Pasco,28.292,-82.4165,285.48,69.0,0.0,1.6,US
243,Shache,38.4167,77.2406,277.47,60.0,26.0,1.55,CN
244,Makokou,0.5738,12.8642,294.6,93.0,91.0,1.07,GA
245,Pacific Grove,36.6177,-121.9166,285.15,71.0,1.0,4.63,US
246,Nurota,40.5614,65.6886,280.15,49.0,0.0,5.14,UZ
247,Ust'-Karsk,52.7011,118.8077,251.87,81.0,1.0,1.41,RU
248,São Filipe,14.8961,-24.4956,295.29,73.0,82.0,2.71,CV
249,Phayao,19.25,100.25,302.62,41.0,0.0,0.5,TH
250,Terrace,54.5163,-128.6035,273.15,74.0,75.0,1.03,CA
251,Tingi,-11.3,35.0333,292.67,85.0,100.0,1.31,TZ
252,Armizonskoye,55.9461,67.6736,246.13,87.0,9.0,4.58,RU
253,Lakki,32.6079,70.9114,289.71,35.0,0.0,0.24,PK
254,Kautokeino,69.0125,23.0412,254.15,89.0,12.0,4.35,NO
255,Salinópolis,-0.6136,-47.3561,298.46,86.0,99.0,4.43,BR
256,Muros,42.7762,-9.0603,284.26,81.0,46.0,2.68,ES
257,Bonthe,7.5264,-12.505,298.64,88.0,66.0,2.51,SL
258,Emba,48.8264,58.1442,260.83,87.0,96.0,6.5,KZ
259,Hofn,64.2539,-15.2082,277.79,82.0,100.0,6.36,IS
260,Hirara,24.8,125.2833,289.15,77.0,75.0,10.29,JP
261,Campoverde,-8.4753,-74.8058,296.88,95.0,100.0,0.92,PE
262,Līsakovsk,52.5369,62.4936,250.77,86.0,98.0,2.01,KZ
263,Poiana Cristei,45.65,26.9833,265.76,90.0,14.0,1.56,RO
264,Nieuwpoort,51.1244,2.7735,280.93,93.0,75.0,4.63,BE
265,Nanortalik,60.1432,-45.2371,263.85,86.0,34.0,8.65,GL
266,Egvekinot,66.3167,-179.1667,247.39,87.0,34.0,5.58,RU
267,Tasiilaq,65.6145,-37.6368,272.15,86.0,90.0,7.72,GL
268,Bull Savanna,17.8868,-77.5902,295.67,85.0,0.0,3.85,JM
269,Rio Grande,-32.035,-52.0986,291.48,92.0,2.0,6.18,BR
270,Gobabis,-22.45,18.9667,291.57,33.0,0.0,3.34,NA
271,Felanitx,39.4696,3.1483,282.15,93.0,40.0,1.8,ES
272,Haines Junction,60.7522,-137.5108,247.15,70.0,99.0,0.51,CA
274,Pedernales,18.0384,-71.744,297.59,58.0,9.0,4.05,DO
275,Zofingen,47.2878,7.9459,279.26,93.0,99.0,0.45,CH
276,Hamilton,39.1834,-84.5333,264.15,73.0,1.0,0.85,US
277,Dolní Dobrouč,49.9927,16.4977,272.59,93.0,100.0,2.64,CZ
278,Bac Lieu,9.285,105.7244,299.59,63.0,28.0,8.25,VN
279,Kulhudhuffushi,6.6221,73.07,300.24,68.0,60.0,2.89,MV
280,San Miguel de Tucumán,-26.8241,-65.2226,294.61,79.0,68.0,1.52,AR
281,Buala,-8.145,159.5921,302.18,76.0,98.0,1.34,SB
282,Airai,-8.9266,125.4092,296.07,70.0,100.0,2.19,TL
283,Zhangye,38.9342,100.4517,276.95,55.0,39.0,1.49,CN
285,Acajutla,13.5928,-89.8275,298.49,74.0,75.0,2.73,SV
286,Tequisquiapan,20.5167,-99.8667,286.83,33.0,0.0,3.83,MX
288,Roebourne,-20.7833,117.1333,304.31,56.0,100.0,2.66,AU
290,Praia da Vitória,38.7333,-27.0667,287.04,82.0,20.0,5.86,PT
291,Afuá,-0.1567,-50.3867,297.15,88.0,85.0,3.01,BR
292,Hambantota,6.1241,81.1185,297.15,100.0,0.0,2.57,LK
293,Koper,45.5469,13.7294,277.59,81.0,75.0,1.54,SI
294,Yangi Marg`ilon,40.4272,71.7189,275.15,60.0,0.0,4.12,UZ
295,Laredo,27.5064,-99.5075,274.15,86.0,90.0,4.63,US
297,Malinyi,-8.9333,36.1333,296.11,94.0,100.0,0.88,TZ
298,Praia,14.9215,-23.5087,293.15,77.0,20.0,3.09,CV
299,Thunder Bay,48.4001,-89.3168,257.04,60.0,1.0,2.57,CA
300,Cururupu,-1.8283,-44.8683,296.34,97.0,90.0,1.21,BR
301,San Marcos,33.1434,-117.1661,283.85,83.0,9.0,0.88,US
302,Kachug,53.9606,105.8817,260.49,92.0,100.0,1.99,RU
303,Kiruna,67.8557,20.2251,259.15,78.0,30.0,4.63,SE
304,Yuncheng,35.0231,110.9928,282.98,40.0,4.0,2.25,CN
305,Williamsburg,37.2707,-76.7075,281.15,53.0,1.0,3.6,US
306,Pahrump,36.2083,-115.9839,285.37,23.0,0.0,0.89,US
307,Qaqortoq,60.7167,-46.0333,265.15,49.0,90.0,1.03,GL
